ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY
3001	Emergency Communications Center	TER	100	2	20310766	1566371
3004	Emergency Communications Center	TER	175	2	20190508	1668518
3006	Emergency Communications Center	TER	100	2	20102972	1550314
3007	Emergency Communications Center	TER	100	2	20309735	1566150
3008	Emergency Communications Center	TER	100	2	20028918	1705777
3009	Emergency Communications Center	TER	100	2	20259245	1074496
3010	Emergency Communications Center	TER	100	2	20336808	1941571
3011	Emergency Alert System	TER	100	2	20217283	1532598
3012	Hospitals	TER	1000	2	20160926	1455624
3013	Hospitals	TER	1550	2	20319709	1474375
3014	Jail	TER	1000	2	20239085	1828642
3015	Shelters	TER	750	2	20285000	1753118
3016	Shelters	TER	350	2	20119477	1588159
3017	Shelters	TER	800	2	20378871	1617031
3018	Shelters	TER	400	2	20173550	1332616
3019	Shelters	TER	600	2	20391001	1644910
3020	Shelters	TER	160	2	20126665	1493315
3021	Care Homes	TER	100	2	20234283	1440255
3022	Care Homes	TER	100	2	20232998	1443935
3023	Care Homes	TER	100	2	20176822	1405305
3024	Care Homes	TER	100	2	20192959	1867072
3025	Care Homes	TER	100	2	20211579	1551175
3026	Care Homes	TER	100	2	20227728	1359022
3027	Care Homes	TER	100	2	20231647	1304713
3028	Care Homes	TER	100	2	20556891	1730787
3029	Care Homes	TER	100	2	20155887	1476984
3030	Care Homes	TER	100	2	20201590	1429738
3031	Care Homes	TER	100	2	20151116	1488752
3032	Care Homes	TER	100	2	20338166	1609523
3034	Care Homes	TER	100	2	20237619	1070217
3035	Nursing Homes	TER	100	2	20235256	1215882
3036	Nursing Homes	TER	100	2	20285217	1774649
3037	Nursing Homes	TER	100	2	20447915	1501596
3038	Nursing Homes	TER	100	2	20157816	1463988
3039	Nursing Homes	TER	100	2	20557083	1730730
3040	Nursing Homes	TER	100	2	20321881	1569599
3041	Nursing Homes	TER	100	2	20142749	1420675
3042	Nursing Homes	TER	100	2	20137160	1426499
3043	Independent Living Facilities	TER	75	2	20248924	1574091
3044	Independent Living Facilities	TER	75	2	20234407	1439897
3045	Independent Living Facilities	TER	75	2	20097021	1553482
3046	Independent Living Facilities	TER	75	2	20201859	1582809
3047	Independent Living Facilities	TER	75	2	20157080	1446065
3048	Independent Living Facilities	TER	75	2	20150904	1470703
3049	Independent Living Facilities	TER	75	2	20384583	1648258
3050	Independent Living Facilities	TER	75	2	20223593	1500451
3051	Independent Living Facilities	TER	75	2	20224145	1500391
3052	Independent Living Facilities	TER	75	2	20145573	1507108
3053	Independent Living Facilities	TER	75	2	20144373	1487307
3054	Independent Living Facilities	TER	75	2	20126328	1565929
3055	Independent Living Facilities	TER	75	2	20149580	1460896
3056	Independent Living Facilities	TER	75	2	20217312	1554715
3057	Independent Living Facilities	TER	75	2	20104891	1491935
3058	Independent Living Facilities	TER	75	2	20570570	1727589
3059	Independent Living Facilities	TER	75	2	20128953	1562891
3060	Independent Living Facilities	TER	75	2	20095418	1522156
3061	Independent Living Facilities	TER	75	2	20275010	1490847
3062	Independent Living Facilities	TER	75	2	20160314	1527514
3063	Independent Living Facilities	TER	75	2	20456238	1657964
3064	Independent Living Facilities	TER	75	2	20111439	1503401
3065	Independent Living Facilities	TER	75	2	20253956	1419343
3066	Group Homes	TER	75	2	20178686	1533993
3067	Group Homes	TER	75	2	20256883	1515582
3068	Group Homes	TER	75	2	20246452	1656060
3069	Group Homes	TER	75	2	20147753	1342724
3070	Group Homes	TER	75	2	20217505	1547109
3071	Group Homes	TER	75	2	20175914	1282501
3072	Group Homes	TER	75	2	20178287	1298176
3073	Group Homes	TER	75	2	20365581	1589273
3074	Group Homes	TER	75	2	20431003	1657946
3075	Group Homes	TER	75	2	20278100	1364060
3076	Group Homes	TER	75	2	20359527	1672109
3077	Group Homes	TER	75	2	20363492	1422164
3078	Group Homes	TER	75	2	20178735	1298673
3079	Group Homes	TER	75	2	20267155	1151779
3080	Group Homes	TER	75	2	20308649	1294446
3081	Group Homes	TER	75	2	20345688	1381896
3082	Group Homes	TER	75	2	20216622	1397965
3083	Group Homes	TER	75	2	20152283	1474793
3084	Group Homes	TER	75	2	20122800	1464248
3085	Group Homes	TER	75	2	20105280	1561535
3417	Group Homes	TER	75	2	20224270	1574283
3089	Child Residential Facilities	TER	75	2	20276989	1363809
3090	Child Residential Facilities	TER	75	2	20280230	1603480
3091	Child Residential Facilities	TER	75	2	20302876	1631919
3092	Child Residential Facilities	TER	75	2	20388635	1683043
3093	Child Residential Facilities	TER	75	2	20423894	1502425
3418	Group Homes	TER	75	2	20145178	1494343
3094	Child Residential Facilities	TER	75	2	20337676	1569311
3095	Child Residential Facilities	TER	75	2	20387685	1663238
3096	Child Residential Facilities	TER	75	2	20360097	1640051
3097	Child Residential Facilities	TER	75	2	20296382	1381920
3098	Child Residential Facilities	TER	75	2	20321493	1643213
3099	Child Residential Facilities	TER	75	2	20113859	1770382
3100	Child Residential Facilities	TER	75	2	20312135	1612467
3101	Child Residential Facilities	TER	75	2	20289471	1495100
3102	Child Residential Facilities	TER	75	2	20226829	1514465
3103	Child Residential Facilities	TER	75	2	20370050	1607436
3104	Child Residential Facilities	TER	75	2	20311064	1348152
3105	Child Residential Facilities	TER	75	2	20194612	1252057
3106	Child Residential Facilities	TER	75	2	20203198	1152162
3107	Child Residential Facilities	TER	75	2	20292013	1891087
3108	Child Residential Facilities	TER	75	2	20291701	1891086
3109	Child Residential Facilities	TER	75	2	20291552	1891091
3110	Hospice	TER	150	2	20141203	1420320
3111	Police Departments	TER	50	2	20234212	946184
3112	Police Departments	TER	800	2	20107617	1598935
3113	Police Departments	TER	150	2	20469278	1484295
3114	Police Departments	TER	50	2	20204006	803864
3115	EMS	TER	50	2	20415695	1630674
3116	EMS	TER	50	2	20098252	1555785
3117	EMS	TER	50	2	20214208	1496092
3118	EMS	TER	50	2	20192674	1308067
3119	EMS	TER	50	2	20228885	956507
3120	EMS	TER	50	2	20243883	1810603
3122	Fire Departments	TER	150	2	20212692	920461
3123	Fire Departments	TER	30	2	20120236	1549147
3124	Fire Departments	TER	50	2	20211644	1497485
3125	Fire Departments	TER	45	2	20228673	1573490
3126	Fire Departments	TER	50	2	20289465	1494800
3127	Fire Departments	TER	80	2	20159927	1429290
3128	Fire Departments	TER	40	2	20164307	1348372
3129	Fire Departments	TER	100	2	20250426	1403093
3130	Fire Departments	TER	80	2	20333841	1569338
3131	Fire Departments	TER	80	2	20410079	1545587
3132	Fire Departments	TER	25	2	20383946	1468406
3133	Fire Departments	TER	105	2	20327784	1386658
3134	Fire Departments	TER	50	2	20028312	1737269
3135	Fire Departments	TER	100	2	20241770	1240504
3136	Fire Departments	TER	45	2	20217149	1908548
3137	Fire Departments	TER	60	2	20444329	1680277
3138	Fire Departments	TER	40	2	20546929	1733712
3139	Fire Departments	TER	150	2	20172801	1714749
3140	Fire Departments	TER	166	2	20230208	997289
3141	Fire Departments	TER	50	2	20469413	1487034
3142	Fire Departments	TER	75	2	20206142	804059
3341	Airport	TER	1000	2	20185613	1649209
3342	Transit Authority	TER	175	2	20133449	1525987
3621	Hotel	TER	125	2	20239922	1230250
3622	Hotel	TER	125	2	20295555	1554693
3623	Hotel	TER	125	2	20262351	1574159
3624	Hotel	TER	125	2	20200195	1560412
3625	Hotel	TER	125	2	20091568	1563826
3626	Hotel	TER	125	2	20488609	1450458
3627	Hotel	TER	125	2	20299762	1563579
3628	Hotel	TER	125	2	20258826	1573375
3629	Hotel	TER	125	2	20246724	907510
3630	Hotel	TER	125	2	20295001	1567538
3631	Hotel	TER	125	2	20271275	1575763
3632	Hotel	TER	125	2	20200538	1560838
3633	Hotel	TER	125	2	20280089	1569147
3634	Hotel	TER	125	2	20268129	1575424
3635	Hotel	TER	125	2	20276142	1577190
3636	Hotel	TER	125	2	20228479	1566754
3637	Hotel	TER	125	2	20294706	1566508
3638	Hotel	TER	125	2	20269786	1575435
3639	Hotel	TER	125	2	20519938	1502492
3640	Hotel	TER	125	2	20320247	1580352
3641	Hotel	TER	125	2	20295608	1581427
3642	Hotel	TER	125	2	20271117	1584350
3643	Hotel	TER	125	2	20286135	1579426
3644	Hotel	TER	125	2	20240411	934998
3645	Hotel	TER	125	2	20196632	1559660
3646	Hotel	TER	125	2	20265075	1574749
3647	Hotel	TER	125	2	20410227	1545433
3648	Hotel	TER	125	2	20092207	1549766
3649	Hotel	TER	125	2	20217242	810246
3650	Hotel	TER	125	2	20548291	1552214
3651	Hotel	TER	125	2	20286025	1579404
3652	Hotel	TER	125	2	20096185	1539821
3653	Hotel	TER	125	2	20218875	1564340
3654	Hotel	TER	125	2	20099640	1542868
3655	Hotel	TER	125	2	20238020	1568437
3656	Hotel	TER	125	2	20279372	1577547
5010	Water Treatment Plants	Water	200	0	20208410	908128
5011	Water Treatment Plants	Water	1688	0	20100376	1613752
5012	Water Treatment Plants	Water	200	0	20471633	1491353
5013	Water Treatment Plants	Water	200	0	20421360	1506457
5014	Well Sites	Water	75	0	20113797	1753421
5015	Well Sites	Water	75	0	20089565	1760715
5016	Well Sites	Water	80	0	20473944	1720069
5017	Well Sites	Water	75	0	20465124	1727311
5018	Well Sites	Water	75	0	20361463	1717658
5019	Well Sites	Water	75	0	20070240	1662084
5020	Well Sites	Water	75	0	20068439	1662434
5021	Well Sites	Water	75	0	20061642	1667366
5022	Well Sites	Water	75	0	20363248	1676321
5023	Well Sites	Water	75	0	20335712	1646511
5024	Well Sites	Water	75	0	20316285	1623589
5025	Well Sites	Water	80	0	20343342	1725833
5026	Well Sites	Water	75	0	20349962	1694141
5027	Well Sites	Water	50	0	20483262	1724349
5028	Well Sites	Water	75	0	20205538	1152838
5029	Well Sites	Water	75	0	20191482	1150024
5030	Well Sites	Water	100	0	20275890	1759329
5031	Well Sites	Water	50	0	20268778	1756280
5032	Well Sites	Water	75	0	20296371	1766612
5033	Well Sites	Water	75	0	20255270	1857642
5034	Well Sites	Water	75	0	20258406	1875733
5035	Well Sites	Water	75	0	20400126	1737399
5036	Well Sites	Water	100	0	20395183	1741017
5037	Well Sites	Water	75	0	20112250	1760381
5038	Well Sites	Water	50	0	20505658	1615869
5039	Well Sites	Water	75	0	20104715	1768195
5040	Well Sites	Water	75	0	20089004	1760808
5041	Well Sites	Water	75	0	20447532	1698453
5042	Well Sites	Water	75	0	20436295	1705538
5043	Well Sites	Water	35	0	20515112	1495008
5044	Well Sites	Water	35	0	20533737	1529406
5045	Well Sites	Water	35	0	20503149	1474802
5046	Well Sites	Water	35	0	20489738	1452061
5047	Well Sites	Water	35	0	20477703	1478392
5048	Well Sites	Water	35	0	20453524	1490969
5049	Well Sites	Water	35	0	20460490	1493163
5050	Well Sites	Water	35	0	20481073	1494039
5051	Well Sites	Water	35	0	20423668	1509966
5052	Well Sites	Water	35	0	20410008	1513299
5053	Well Sites	Water	35	0	20213011	790473
5054	Water Treatment Plants	Water	375	0	20420406	1649499
5055	Well Sites	Water	35	0	20203012	770815
5056	Well Sites	Water	35	0	20202037	797112
5057	Well Sites	Water	35	0	20192376	727118
5058	Well Sites	Water	35	0	20226630	873957
